Year,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Playoffs2,Championship
2019,Chicago Bulls,65,15675,39.5,82.4,0.479,11.2,31.6,0.353,28.3,50.8,0.557,19.7,26,0.759,10.1,35.3,45.5,25.4,8.1,5.9,18.2,19.1,109.8,FALSE,FALSE
2019,Detroit Pistons,66,15965,42.6,88.8,0.48,10.9,30.1,0.361,31.8,58.7,0.541,16.5,21.2,0.777,10.3,34,44.2,25,8.4,5.7,14.2,20.1,112.7,FALSE,FALSE
2019,New York Knicks,66,15965,40.1,86.6,0.463,13.4,35.1,0.381,26.7,51.5,0.52,19.4,25.9,0.749,9.6,34.8,44.5,24.5,7.2,5.1,13.8,19.9,113,FALSE,FALSE
2019,Cleveland Cavaliers,65,15725,44.1,89.9,0.491,12.4,33.2,0.375,31.7,56.7,0.558,14.8,19.3,0.767,9.8,33.3,43.1,26.3,9.5,6.4,13.1,19.8,115.4,FALSE,FALSE
2019,Golden State Warriors,65,15725,41.7,87.6,0.476,13.4,34.4,0.389,28.4,53.2,0.533,16.9,21.6,0.783,10.1,35.9,46,25.8,8.2,4.9,15.5,19.9,113.8,FALSE,FALSE
2019,Minnesota Timberwolves,64,15560,41.2,86.3,0.477,11,30.4,0.363,30.1,55.9,0.539,18.8,24.1,0.783,9.7,35.5,45.2,23.3,7.4,5.3,14.8,20.6,112.2,FALSE,FALSE
2019,Los Angeles Lakers,71,17090,38.6,86.1,0.448,11.5,33,0.349,27.1,53.1,0.51,17.7,22.6,0.781,9.3,32.5,41.7,23.1,8.1,3.7,15.7,21.5,106.3,TRUE,TRUE
2019,Toronto Raptors,72,17380,37.2,87,0.428,12.9,38.3,0.337,24.3,48.7,0.499,17.6,22.9,0.769,10.8,34.6,45.4,25.2,7.1,5.4,16.6,20.1,105,TRUE,FALSE
2019,Boston Celtics,72,17430,38.3,86.8,0.441,11.8,34.7,0.34,26.5,52.1,0.508,18.7,24.4,0.767,10.3,33.9,44.2,22.3,7.1,5.5,15.2,20.6,107,TRUE,FALSE
2019,Oklahoma City Thunder,72,17430,40.9,90,0.455,11.3,33.4,0.34,29.6,56.6,0.523,15.6,19.6,0.795,10.5,34.5,45,23.1,7,4,14.3,22.9,108.8,TRUE,FALSE
